Filename,QueryID,TP,TN,FP,FN,Total,Accuracy(%)
scores_eucli_00056.csv,00056,4,6537,1457,1,7999,81.77
scores_eucli_00058.csv,00058,3,5992,1999,5,7999,74.95
scores_eucli_00059.csv,00059,4,4292,3699,4,7999,53.71
scores_eucli_00061.csv,00061,4,6326,1665,4,7999,79.13
scores_eucli_00062.csv,00062,4,4782,3209,4,7999,59.83
scores_eucli_00065.csv,00065,3,7931,60,5,7999,99.19
scores_eucli_00067.csv,00067,0,7953,38,8,7999,99.42
scores_eucli_00068.csv,00068,4,6729,1262,4,7999,84.17
scores_eucli_00070.csv,00070,4,6663,1328,4,7999,83.35
scores_eucli_00071.csv,00071,5,6263,1728,3,7999,78.36
scores_eucli_00072.csv,00072,4,7746,245,4,7999,96.89
scores_eucli_00077.csv,00077,3,6482,1509,5,7999,81.07
scores_eucli_00078.csv,00078,2,7988,3,6,7999,99.89
scores_eucli_00080.csv,00080,3,4338,3653,5,7999,54.27
scores_eucli_00082.csv,00082,6,5204,2787,2,7999,65.13
scores_eucli_00083.csv,00083,6,5870,2121,2,7999,73.46
scores_eucli_00086.csv,00086,4,7982,9,4,7999,99.84
scores_eucli_00087.csv,00087,2,7949,44,4,7999,99.4
scores_eucli_00088.csv,00088,3,6952,1039,5,7999,86.95
scores_eucli_00089.csv,00089,3,6448,1543,5,7999,80.65
scores_eucli_00090.csv,00090,1,7991,0,7,7999,99.91
scores_eucli_00091.csv,00091,4,7824,167,4,7999,97.86
scores_eucli_00092.csv,00092,3,7713,278,5,7999,96.46
scores_eucli_00093.csv,00093,5,5457,2534,3,7999,68.28
scores_eucli_00094.csv,00094,2,7709,282,6,7999,96.4
scores_eucli_00095.csv,00095,2,7986,5,6,7999,99.86
scores_eucli_00096.csv,00096,1,7605,386,7,7999,95.09
scores_eucli_00097.csv,00097,7,4524,3467,1,7999,56.64
scores_eucli_00098.csv,00098,2,6458,1533,6,7999,80.76
scores_eucli_00099.csv,00099,1,7194,797,7,7999,89.95
scores_eucli_00101.csv,00101,2,5575,2416,6,7999,69.72
scores_eucli_00102.csv,00102,3,7712,279,5,7999,96.45
scores_eucli_00105.csv,00105,4,5684,2307,4,7999,71.11
scores_eucli_00106.csv,00106,4,4953,3038,4,7999,61.97
scores_eucli_00108.csv,00108,1,7859,132,7,7999,98.26
scores_eucli_00111.csv,00111,3,7347,644,5,7999,91.89
scores_eucli_00112.csv,00112,5,5411,2580,3,7999,67.71
scores_eucli_00113.csv,00113,3,7186,805,5,7999,89.87
scores_eucli_00114.csv,00114,2,7473,518,6,7999,93.45
scores_eucli_00115.csv,00115,6,6433,1558,2,7999,80.5
scores_eucli_00116.csv,00116,1,7976,15,7,7999,99.72
scores_eucli_00118.csv,00118,3,7991,0,5,7999,99.94
scores_eucli_00119.csv,00119,3,6513,1478,5,7999,81.46
scores_eucli_00120.csv,00120,3,5955,2036,5,7999,74.48
scores_eucli_00121.csv,00121,6,4545,3446,2,7999,56.89
scores_eucli_00122.csv,00122,2,6740,1251,6,7999,84.29
scores_eucli_00124.csv,00124,0,7990,1,8,7999,99.89
scores_eucli_00127.csv,00127,3,7029,962,5,7999,87.91
scores_eucli_00128.csv,00128,0,7910,82,7,7999,98.89
scores_eucli_00129.csv,00129,2,7865,126,6,7999,98.35
scores_eucli_00130.csv,00130,1,7828,163,7,7999,97.87
scores_eucli_00131.csv,00131,2,7624,367,6,7999,95.34
scores_eucli_00132.csv,00132,0,7989,2,8,7999,99.87
scores_eucli_00133.csv,00133,6,6413,1578,2,7999,80.25
scores_eucli_00134.csv,00134,6,5449,2542,2,7999,68.2
scores_eucli_00135.csv,00135,0,7975,16,8,7999,99.7
scores_eucli_00136.csv,00136,0,6736,1255,8,7999,84.21
scores_eucli_00137.csv,00137,7,5588,2403,1,7999,69.95
scores_eucli_00139.csv,00139,5,7840,151,3,7999,98.07
scores_eucli_00140.csv,00140,1,6690,1301,7,7999,83.65
scores_eucli_00141.csv,00141,3,7520,471,5,7999,94.05
scores_eucli_00142.csv,00142,1,7990,2,6,7999,99.9
scores_eucli_00143.csv,00143,8,6329,1662,0,7999,79.22
scores_eucli_00144.csv,00144,3,7849,142,5,7999,98.16
scores_eucli_00145.csv,00145,7,5636,2355,1,7999,70.55
