test_similarity_scores_eucli_00056.txt ▶ 정확도: 81.77% (TP=4, TN=6537, FP=1457, FN=1)
test_similarity_scores_eucli_00058.txt ▶ 정확도: 74.95% (TP=3, TN=5992, FP=1999, FN=5)
test_similarity_scores_eucli_00059.txt ▶ 정확도: 53.71% (TP=4, TN=4292, FP=3699, FN=4)
test_similarity_scores_eucli_00061.txt ▶ 정확도: 79.13% (TP=4, TN=6326, FP=1665, FN=4)
test_similarity_scores_eucli_00062.txt ▶ 정확도: 59.83% (TP=4, TN=4782, FP=3209, FN=4)
test_similarity_scores_eucli_00065.txt ▶ 정확도: 99.19% (TP=3, TN=7931, FP=60, FN=5)
test_similarity_scores_eucli_00067.txt ▶ 정확도: 99.42% (TP=0, TN=7953, FP=38, FN=8)
test_similarity_scores_eucli_00068.txt ▶ 정확도: 84.17% (TP=4, TN=6729, FP=1262, FN=4)
test_similarity_scores_eucli_00070.txt ▶ 정확도: 83.35% (TP=4, TN=6663, FP=1328, FN=4)
test_similarity_scores_eucli_00071.txt ▶ 정확도: 78.36% (TP=5, TN=6263, FP=1728, FN=3)
test_similarity_scores_eucli_00072.txt ▶ 정확도: 96.89% (TP=4, TN=7746, FP=245, FN=4)
test_similarity_scores_eucli_00077.txt ▶ 정확도: 81.07% (TP=3, TN=6482, FP=1509, FN=5)
test_similarity_scores_eucli_00078.txt ▶ 정확도: 99.89% (TP=2, TN=7988, FP=3, FN=6)
test_similarity_scores_eucli_00080.txt ▶ 정확도: 54.27% (TP=3, TN=4338, FP=3653, FN=5)
test_similarity_scores_eucli_00082.txt ▶ 정확도: 65.13% (TP=6, TN=5204, FP=2787, FN=2)
test_similarity_scores_eucli_00083.txt ▶ 정확도: 73.46% (TP=6, TN=5870, FP=2121, FN=2)
test_similarity_scores_eucli_00086.txt ▶ 정확도: 99.84% (TP=4, TN=7982, FP=9, FN=4)
test_similarity_scores_eucli_00088.txt ▶ 정확도: 86.95% (TP=3, TN=6952, FP=1039, FN=5)
test_similarity_scores_eucli_00089.txt ▶ 정확도: 80.65% (TP=3, TN=6448, FP=1543, FN=5)
test_similarity_scores_eucli_00090.txt ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
test_similarity_scores_eucli_00091.txt ▶ 정확도: 97.86% (TP=4, TN=7824, FP=167, FN=4)
test_similarity_scores_eucli_00092.txt ▶ 정확도: 96.46% (TP=3, TN=7713, FP=278, FN=5)
test_similarity_scores_eucli_00095.txt ▶ 정확도: 99.86% (TP=2, TN=7986, FP=5, FN=6)
test_similarity_scores_eucli_00096.txt ▶ 정확도: 95.09% (TP=1, TN=7605, FP=386, FN=7)
test_similarity_scores_eucli_00097.txt ▶ 정확도: 56.64% (TP=7, TN=4524, FP=3467, FN=1)
test_similarity_scores_eucli_00098.txt ▶ 정확도: 80.76% (TP=2, TN=6458, FP=1533, FN=6)
test_similarity_scores_eucli_00099.txt ▶ 정확도: 89.95% (TP=1, TN=7194, FP=797, FN=7)
test_similarity_scores_eucli_00101.txt ▶ 정확도: 69.72% (TP=2, TN=5575, FP=2416, FN=6)
test_similarity_scores_eucli_00102.txt ▶ 정확도: 96.45% (TP=3, TN=7712, FP=279, FN=5)
test_similarity_scores_eucli_00106.txt ▶ 정확도: 61.97% (TP=4, TN=4953, FP=3038, FN=4)
test_similarity_scores_eucli_00108.txt ▶ 정확도: 98.26% (TP=1, TN=7859, FP=132, FN=7)
test_similarity_scores_eucli_00111.txt ▶ 정확도: 91.89% (TP=3, TN=7347, FP=644, FN=5)
test_similarity_scores_eucli_00112.txt ▶ 정확도: 67.71% (TP=5, TN=5411, FP=2580, FN=3)
test_similarity_scores_eucli_00113.txt ▶ 정확도: 89.87% (TP=3, TN=7186, FP=805, FN=5)
test_similarity_scores_eucli_00114.txt ▶ 정확도: 93.45% (TP=2, TN=7473, FP=518, FN=6)
test_similarity_scores_eucli_00115.txt ▶ 정확도: 80.50% (TP=6, TN=6433, FP=1558, FN=2)
test_similarity_scores_eucli_00116.txt ▶ 정확도: 99.72% (TP=1, TN=7976, FP=15, FN=7)
test_similarity_scores_eucli_00118.txt ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
test_similarity_scores_eucli_00119.txt ▶ 정확도: 81.46% (TP=3, TN=6513, FP=1478, FN=5)
test_similarity_scores_eucli_00121.txt ▶ 정확도: 56.89% (TP=6, TN=4545, FP=3446, FN=2)
test_similarity_scores_eucli_00122.txt ▶ 정확도: 84.29% (TP=2, TN=6740, FP=1251, FN=6)
test_similarity_scores_eucli_00124.txt ▶ 정확도: 99.89% (TP=0, TN=7990, FP=1, FN=8)
test_similarity_scores_eucli_00127.txt ▶ 정확도: 87.91% (TP=3, TN=7029, FP=962, FN=5)
test_similarity_scores_eucli_00129.txt ▶ 정확도: 98.35% (TP=2, TN=7865, FP=126, FN=6)
test_similarity_scores_eucli_00130.txt ▶ 정확도: 97.87% (TP=1, TN=7828, FP=163, FN=7)
test_similarity_scores_eucli_00131.txt ▶ 정확도: 95.34% (TP=2, TN=7624, FP=367, FN=6)
test_similarity_scores_eucli_00132.txt ▶ 정확도: 99.87% (TP=0, TN=7989, FP=2, FN=8)
test_similarity_scores_eucli_00133.txt ▶ 정확도: 80.25% (TP=6, TN=6413, FP=1578, FN=2)
test_similarity_scores_eucli_00134.txt ▶ 정확도: 68.20% (TP=6, TN=5449, FP=2542, FN=2)
test_similarity_scores_eucli_00135.txt ▶ 정확도: 99.70% (TP=0, TN=7975, FP=16, FN=8)
test_similarity_scores_eucli_00136.txt ▶ 정확도: 84.21% (TP=0, TN=6736, FP=1255, FN=8)
test_similarity_scores_eucli_00137.txt ▶ 정확도: 69.95% (TP=7, TN=5588, FP=2403, FN=1)
test_similarity_scores_eucli_00141.txt ▶ 정확도: 94.05% (TP=3, TN=7520, FP=471, FN=5)
test_similarity_scores_eucli_00145.txt ▶ 정확도: 70.55% (TP=7, TN=5636, FP=2355, FN=1)
test_similarity_scores_eucli_00147.txt ▶ 정확도: 57.89% (TP=4, TN=4627, FP=3364, FN=4)
test_similarity_scores_eucli_00148.txt ▶ 정확도: 77.22% (TP=3, TN=6174, FP=1817, FN=5)
test_similarity_scores_eucli_00149.txt ▶ 정확도: 88.22% (TP=4, TN=7053, FP=938, FN=4)
test_similarity_scores_eucli_00154.txt ▶ 정확도: 72.85% (TP=7, TN=5820, FP=2171, FN=1)
test_similarity_scores_eucli_00157.txt ▶ 정확도: 89.15% (TP=5, TN=7126, FP=865, FN=3)
test_similarity_scores_eucli_00158.txt ▶ 정확도: 98.82% (TP=0, TN=7905, FP=86, FN=8)
test_similarity_scores_eucli_00160.txt ▶ 정확도: 93.55% (TP=3, TN=7480, FP=511, FN=5)
test_similarity_scores_eucli_00161.txt ▶ 정확도: 88.80% (TP=7, TN=7096, FP=895, FN=1)
test_similarity_scores_eucli_00163.txt ▶ 정확도: 85.45% (TP=3, TN=6832, FP=1159, FN=5)
test_similarity_scores_eucli_00164.txt ▶ 정확도: 78.70% (TP=4, TN=6291, FP=1700, FN=4)
test_similarity_scores_eucli_00165.txt ▶ 정확도: 83.54% (TP=3, TN=6679, FP=1312, FN=5)
test_similarity_scores_eucli_00167.txt ▶ 정확도: 99.42% (TP=1, TN=7952, FP=39, FN=7)
test_similarity_scores_eucli_00168.txt ▶ 정확도: 66.00% (TP=3, TN=5276, FP=2715, FN=5)
test_similarity_scores_eucli_00172.txt ▶ 정확도: 61.95% (TP=5, TN=4950, FP=3041, FN=3)
test_similarity_scores_eucli_00173.txt ▶ 정확도: 65.18% (TP=5, TN=5209, FP=2782, FN=3)
test_similarity_scores_eucli_00174.txt ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
test_similarity_scores_eucli_00175.txt ▶ 정확도: 79.03% (TP=4, TN=6318, FP=1673, FN=4)
test_similarity_scores_eucli_00176.txt ▶ 정확도: 67.63% (TP=8, TN=5402, FP=2589, FN=0)
test_similarity_scores_eucli_00182.txt ▶ 정확도: 70.51% (TP=5, TN=5635, FP=2356, FN=3)
test_similarity_scores_eucli_00183.txt ▶ 정확도: 66.43% (TP=4, TN=5310, FP=2681, FN=4)
test_similarity_scores_eucli_00184.txt ▶ 정확도: 72.35% (TP=3, TN=5784, FP=2207, FN=5)
test_similarity_scores_eucli_00185.txt ▶ 정확도: 59.16% (TP=4, TN=4728, FP=3263, FN=4)
test_similarity_scores_eucli_00187.txt ▶ 정확도: 79.97% (TP=3, TN=6394, FP=1597, FN=5)
test_similarity_scores_eucli_00188.txt ▶ 정확도: 70.96% (TP=4, TN=5672, FP=2319, FN=4)
test_similarity_scores_eucli_00189.txt ▶ 정확도: 99.91% (TP=2, TN=7990, FP=1, FN=6)
test_similarity_scores_eucli_00191.txt ▶ 정확도: 77.56% (TP=8, TN=6196, FP=1795, FN=0)
test_similarity_scores_eucli_00193.txt ▶ 정확도: 95.75% (TP=5, TN=7654, FP=337, FN=3)
test_similarity_scores_eucli_00198.txt ▶ 정확도: 76.26% (TP=3, TN=6097, FP=1894, FN=5)
test_similarity_scores_eucli_00201.txt ▶ 정확도: 96.34% (TP=3, TN=7703, FP=288, FN=5)
test_similarity_scores_eucli_00202.txt ▶ 정확도: 71.96% (TP=1, TN=5755, FP=2236, FN=7)
test_similarity_scores_eucli_00205.txt ▶ 정확도: 86.91% (TP=2, TN=6950, FP=1041, FN=6)
test_similarity_scores_eucli_00221.txt ▶ 정확도: 97.05% (TP=1, TN=7762, FP=229, FN=7)
test_similarity_scores_eucli_00223.txt ▶ 정확도: 76.10% (TP=6, TN=6081, FP=1910, FN=2)
test_similarity_scores_eucli_00230.txt ▶ 정확도: 83.20% (TP=5, TN=6650, FP=1341, FN=3)
