Filename,QueryID,TP,TN,FP,FN,Total,Accuracy(%)
scores_eucli_00056.csv,00056,2,7965,29,3,7999,99.6
scores_eucli_00058.csv,00058,0,7871,120,8,7999,98.4
scores_eucli_00059.csv,00059,1,7296,695,7,7999,91.22
scores_eucli_00061.csv,00061,3,7969,22,5,7999,99.66
scores_eucli_00062.csv,00062,4,7851,140,4,7999,98.2
scores_eucli_00065.csv,00065,0,7991,0,8,7999,99.9
scores_eucli_00067.csv,00067,0,7991,0,8,7999,99.9
scores_eucli_00068.csv,00068,2,7958,33,6,7999,99.51
scores_eucli_00070.csv,00070,2,7953,38,6,7999,99.45
scores_eucli_00071.csv,00071,1,7987,4,7,7999,99.86
scores_eucli_00072.csv,00072,3,7991,0,5,7999,99.94
scores_eucli_00077.csv,00077,1,7991,0,7,7999,99.91
scores_eucli_00078.csv,00078,2,7991,0,6,7999,99.92
scores_eucli_00080.csv,00080,2,7425,566,6,7999,92.85
scores_eucli_00082.csv,00082,3,7885,106,5,7999,98.61
scores_eucli_00083.csv,00083,1,7912,79,7,7999,98.92
scores_eucli_00086.csv,00086,1,7991,0,7,7999,99.91
scores_eucli_00087.csv,00087,1,7993,0,5,7999,99.94
scores_eucli_00088.csv,00088,2,7987,4,6,7999,99.87
scores_eucli_00089.csv,00089,2,7974,17,6,7999,99.71
scores_eucli_00090.csv,00090,1,7991,0,7,7999,99.91
scores_eucli_00091.csv,00091,1,7991,0,7,7999,99.91
scores_eucli_00092.csv,00092,1,7991,0,7,7999,99.91
scores_eucli_00093.csv,00093,4,7619,372,4,7999,95.3
scores_eucli_00094.csv,00094,1,7991,0,7,7999,99.91
scores_eucli_00095.csv,00095,0,7991,0,8,7999,99.9
scores_eucli_00096.csv,00096,1,7989,2,7,7999,99.89
scores_eucli_00097.csv,00097,3,7518,473,5,7999,94.02
scores_eucli_00098.csv,00098,0,7967,24,8,7999,99.6
scores_eucli_00099.csv,00099,0,7990,1,8,7999,99.89
scores_eucli_00101.csv,00101,1,7970,21,7,7999,99.65
scores_eucli_00102.csv,00102,2,7991,0,6,7999,99.92
scores_eucli_00105.csv,00105,0,7981,10,8,7999,99.77
scores_eucli_00106.csv,00106,2,7879,112,6,7999,98.52
scores_eucli_00108.csv,00108,0,7991,0,8,7999,99.9
scores_eucli_00111.csv,00111,1,7977,14,7,7999,99.74
scores_eucli_00112.csv,00112,1,7905,86,7,7999,98.84
scores_eucli_00113.csv,00113,2,7978,13,6,7999,99.76
scores_eucli_00114.csv,00114,0,7984,7,8,7999,99.81
scores_eucli_00115.csv,00115,2,7990,1,6,7999,99.91
scores_eucli_00116.csv,00116,1,7990,1,7,7999,99.9
scores_eucli_00118.csv,00118,3,7991,0,5,7999,99.94
scores_eucli_00119.csv,00119,2,7985,6,6,7999,99.85
scores_eucli_00120.csv,00120,1,7986,5,7,7999,99.85
scores_eucli_00121.csv,00121,2,7785,206,6,7999,97.35
scores_eucli_00122.csv,00122,2,7989,2,6,7999,99.9
scores_eucli_00124.csv,00124,0,7991,0,8,7999,99.9
scores_eucli_00127.csv,00127,2,7991,0,6,7999,99.92
scores_eucli_00128.csv,00128,0,7992,0,7,7999,99.91
scores_eucli_00129.csv,00129,2,7991,0,6,7999,99.92
scores_eucli_00130.csv,00130,1,7991,0,7,7999,99.91
scores_eucli_00131.csv,00131,0,7991,0,8,7999,99.9
scores_eucli_00132.csv,00132,0,7991,0,8,7999,99.9
scores_eucli_00133.csv,00133,1,7985,6,7,7999,99.84
