scores_eucli_00056.csv ▶ 정확도: 99.60% (TP=2, TN=7965, FP=29, FN=3)
scores_eucli_00058.csv ▶ 정확도: 98.40% (TP=0, TN=7871, FP=120, FN=8)
scores_eucli_00059.csv ▶ 정확도: 91.22% (TP=1, TN=7296, FP=695, FN=7)
scores_eucli_00061.csv ▶ 정확도: 99.66% (TP=3, TN=7969, FP=22, FN=5)
scores_eucli_00062.csv ▶ 정확도: 98.20% (TP=4, TN=7851, FP=140, FN=4)
scores_eucli_00065.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00067.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00068.csv ▶ 정확도: 99.51% (TP=2, TN=7958, FP=33, FN=6)
scores_eucli_00070.csv ▶ 정확도: 99.45% (TP=2, TN=7953, FP=38, FN=6)
scores_eucli_00071.csv ▶ 정확도: 99.86% (TP=1, TN=7987, FP=4, FN=7)
scores_eucli_00072.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00077.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00078.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00080.csv ▶ 정확도: 92.85% (TP=2, TN=7425, FP=566, FN=6)
scores_eucli_00082.csv ▶ 정확도: 98.61% (TP=3, TN=7885, FP=106, FN=5)
scores_eucli_00083.csv ▶ 정확도: 98.92% (TP=1, TN=7912, FP=79, FN=7)
scores_eucli_00086.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00087.csv ▶ 정확도: 99.94% (TP=1, TN=7993, FP=0, FN=5)
scores_eucli_00088.csv ▶ 정확도: 99.87% (TP=2, TN=7987, FP=4, FN=6)
scores_eucli_00089.csv ▶ 정확도: 99.71% (TP=2, TN=7974, FP=17, FN=6)
scores_eucli_00090.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00091.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00092.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00093.csv ▶ 정확도: 95.30% (TP=4, TN=7619, FP=372, FN=4)
scores_eucli_00094.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00095.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00096.csv ▶ 정확도: 99.89% (TP=1, TN=7989, FP=2, FN=7)
scores_eucli_00097.csv ▶ 정확도: 94.02% (TP=3, TN=7518, FP=473, FN=5)
scores_eucli_00098.csv ▶ 정확도: 99.60% (TP=0, TN=7967, FP=24, FN=8)
scores_eucli_00099.csv ▶ 정확도: 99.89% (TP=0, TN=7990, FP=1, FN=8)
scores_eucli_00101.csv ▶ 정확도: 99.65% (TP=1, TN=7970, FP=21, FN=7)
scores_eucli_00102.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00105.csv ▶ 정확도: 99.77% (TP=0, TN=7981, FP=10, FN=8)
scores_eucli_00106.csv ▶ 정확도: 98.52% (TP=2, TN=7879, FP=112, FN=6)
scores_eucli_00108.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00111.csv ▶ 정확도: 99.74% (TP=1, TN=7977, FP=14, FN=7)
scores_eucli_00112.csv ▶ 정확도: 98.84% (TP=1, TN=7905, FP=86, FN=7)
scores_eucli_00113.csv ▶ 정확도: 99.76% (TP=2, TN=7978, FP=13, FN=6)
scores_eucli_00114.csv ▶ 정확도: 99.81% (TP=0, TN=7984, FP=7, FN=8)
scores_eucli_00115.csv ▶ 정확도: 99.91% (TP=2, TN=7990, FP=1, FN=6)
scores_eucli_00116.csv ▶ 정확도: 99.90% (TP=1, TN=7990, FP=1, FN=7)
scores_eucli_00118.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00119.csv ▶ 정확도: 99.85% (TP=2, TN=7985, FP=6, FN=6)
scores_eucli_00120.csv ▶ 정확도: 99.85% (TP=1, TN=7986, FP=5, FN=7)
scores_eucli_00121.csv ▶ 정확도: 97.35% (TP=2, TN=7785, FP=206, FN=6)
scores_eucli_00122.csv ▶ 정확도: 99.90% (TP=2, TN=7989, FP=2, FN=6)
scores_eucli_00124.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00127.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00128.csv ▶ 정확도: 99.91% (TP=0, TN=7992, FP=0, FN=7)
scores_eucli_00129.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00130.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00131.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00132.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00133.csv ▶ 정확도: 99.84% (TP=1, TN=7985, FP=6, FN=7)
scores_eucli_00134.csv ▶ 정확도: 99.44% (TP=1, TN=7953, FP=38, FN=7)
scores_eucli_00135.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00136.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00137.csv ▶ 정확도: 96.75% (TP=3, TN=7736, FP=255, FN=5)
scores_eucli_00139.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00140.csv ▶ 정확도: 99.66% (TP=1, TN=7971, FP=20, FN=7)
scores_eucli_00141.csv ▶ 정확도: 99.89% (TP=1, TN=7989, FP=2, FN=7)
scores_eucli_00142.csv ▶ 정확도: 99.92% (TP=1, TN=7992, FP=0, FN=6)
scores_eucli_00143.csv ▶ 정확도: 99.82% (TP=2, TN=7983, FP=8, FN=6)
scores_eucli_00144.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00145.csv ▶ 정확도: 99.50% (TP=2, TN=7957, FP=34, FN=6)
scores_eucli_00146.csv ▶ 정확도: 99.31% (TP=1, TN=7943, FP=48, FN=7)
scores_eucli_00147.csv ▶ 정확도: 97.96% (TP=2, TN=7834, FP=157, FN=6)
scores_eucli_00148.csv ▶ 정확도: 99.89% (TP=2, TN=7988, FP=3, FN=6)
scores_eucli_00149.csv ▶ 정확도: 99.71% (TP=3, TN=7973, FP=18, FN=5)
scores_eucli_00150.csv ▶ 정확도: 98.36% (TP=2, TN=7866, FP=125, FN=6)
scores_eucli_00151.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00152.csv ▶ 정확도: 99.64% (TP=1, TN=7969, FP=22, FN=7)
scores_eucli_00153.csv ▶ 정확도: 99.52% (TP=3, TN=7958, FP=33, FN=5)
scores_eucli_00154.csv ▶ 정확도: 99.84% (TP=1, TN=7985, FP=6, FN=7)
scores_eucli_00155.csv ▶ 정확도: 98.79% (TP=1, TN=7901, FP=90, FN=7)
scores_eucli_00157.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00158.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00159.csv ▶ 정확도: 98.54% (TP=0, TN=7882, FP=109, FN=8)
scores_eucli_00160.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00161.csv ▶ 정확도: 99.70% (TP=3, TN=7972, FP=19, FN=5)
scores_eucli_00163.csv ▶ 정확도: 99.84% (TP=2, TN=7984, FP=7, FN=6)
scores_eucli_00164.csv ▶ 정확도: 99.17% (TP=2, TN=7931, FP=60, FN=6)
scores_eucli_00165.csv ▶ 정확도: 99.77% (TP=0, TN=7981, FP=10, FN=8)
scores_eucli_00166.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00167.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00168.csv ▶ 정확도: 98.00% (TP=1, TN=7838, FP=153, FN=7)
scores_eucli_00169.csv ▶ 정확도: 99.37% (TP=1, TN=7948, FP=43, FN=7)
scores_eucli_00170.csv ▶ 정확도: 96.65% (TP=3, TN=7728, FP=263, FN=5)
scores_eucli_00171.csv ▶ 정확도: 94.90% (TP=4, TN=7587, FP=404, FN=4)
scores_eucli_00172.csv ▶ 정확도: 98.74% (TP=1, TN=7897, FP=94, FN=7)
scores_eucli_00173.csv ▶ 정확도: 99.51% (TP=1, TN=7959, FP=32, FN=7)
scores_eucli_00174.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00175.csv ▶ 정확도: 99.84% (TP=1, TN=7985, FP=6, FN=7)
scores_eucli_00176.csv ▶ 정확도: 99.40% (TP=2, TN=7949, FP=42, FN=6)
scores_eucli_00177.csv ▶ 정확도: 97.56% (TP=4, TN=7800, FP=191, FN=4)
scores_eucli_00178.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00180.csv ▶ 정확도: 97.69% (TP=4, TN=7810, FP=181, FN=4)
scores_eucli_00181.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00182.csv ▶ 정확도: 96.27% (TP=4, TN=7697, FP=294, FN=4)
scores_eucli_00183.csv ▶ 정확도: 98.91% (TP=0, TN=7912, FP=79, FN=8)
scores_eucli_00184.csv ▶ 정확도: 98.60% (TP=0, TN=7887, FP=104, FN=8)
scores_eucli_00185.csv ▶ 정확도: 98.24% (TP=2, TN=7856, FP=135, FN=6)
scores_eucli_00186.csv ▶ 정확도: 98.36% (TP=7, TN=7861, FP=130, FN=1)
scores_eucli_00187.csv ▶ 정확도: 99.74% (TP=1, TN=7977, FP=14, FN=7)
scores_eucli_00188.csv ▶ 정확도: 99.57% (TP=0, TN=7965, FP=26, FN=8)
