Filename,Accuracy,Precision,Recall,F1_Score,Query_Score,Best_Threshold,Best_F1_Score
scores_eucli_00056.csv,0.9995,1.0,0.3333,0.5,100.0,78,0.5
scores_eucli_00058.csv,0.999,1.0,0.1111,0.2,100.0,80,0.2
scores_eucli_00059.csv,0.999,0.6667,0.2222,0.3333,100.0,83,0.3333
scores_eucli_00061.csv,0.9989,0.5,0.4444,0.4706,100.0,71,0.4706
scores_eucli_00062.csv,0.9992,1.0,0.3333,0.5,100.0,76,0.5
scores_eucli_00065.csv,0.9991,0.6667,0.4444,0.5333,100.0,60,0.5333
scores_eucli_00067.csv,0.999,1.0,0.1111,0.2,100.0,59,0.2
scores_eucli_00068.csv,0.9992,1.0,0.3333,0.5,100.0,78,0.5
scores_eucli_00070.csv,0.9991,1.0,0.2222,0.3636,100.0,76,0.3636
scores_eucli_00071.csv,0.9991,1.0,0.2222,0.3636,100.0,72,0.3636
scores_eucli_00072.csv,0.9994,1.0,0.4444,0.6154,100.0,65,0.6154
scores_eucli_00077.csv,0.9991,1.0,0.2222,0.3636,100.0,68,0.3636
scores_eucli_00078.csv,0.9992,1.0,0.3333,0.5,100.0,56,0.5
scores_eucli_00080.csv,0.9985,0.3333,0.3333,0.3333,100.0,80,0.3333
scores_eucli_00082.csv,0.9994,1.0,0.4444,0.6154,100.0,78,0.6154
scores_eucli_00083.csv,0.999,1.0,0.1111,0.2,100.0,76,0.2
scores_eucli_00086.csv,0.9994,1.0,0.4444,0.6154,100.0,57,0.6154
scores_eucli_00087.csv,0.9994,1.0,0.2857,0.4444,100.0,58,0.4444
scores_eucli_00088.csv,0.9992,1.0,0.3333,0.5,100.0,75,0.5
scores_eucli_00089.csv,0.9991,1.0,0.2222,0.3636,100.0,78,0.3636
scores_eucli_00090.csv,0.9991,1.0,0.2222,0.3636,100.0,50,0.3636
scores_eucli_00091.csv,0.9992,1.0,0.3333,0.5,100.0,63,0.5
scores_eucli_00092.csv,0.999,0.5714,0.4444,0.5,100.0,61,0.5
scores_eucli_00093.csv,0.9991,1.0,0.2222,0.3636,100.0,79,0.3636
scores_eucli_00094.csv,0.9991,1.0,0.2222,0.3636,100.0,62,0.3636
scores_eucli_00095.csv,0.9991,0.75,0.3333,0.4615,100.0,57,0.4615
scores_eucli_00096.csv,0.9991,1.0,0.2222,0.3636,100.0,72,0.3636
scores_eucli_00097.csv,0.999,1.0,0.1111,0.2,100.0,83,0.2
scores_eucli_00098.csv,0.9989,0.5,0.1111,0.1818,100.0,74,0.1818
scores_eucli_00099.csv,0.999,1.0,0.1111,0.2,100.0,73,0.2
scores_eucli_00101.csv,0.9991,1.0,0.2222,0.3636,100.0,73,0.3636
scores_eucli_00102.csv,0.9992,1.0,0.3333,0.5,100.0,59,0.5
scores_eucli_00105.csv,0.999,1.0,0.1111,0.2,100.0,72,0.2
scores_eucli_00106.csv,0.9991,1.0,0.2222,0.3636,100.0,77,0.3636
scores_eucli_00108.csv,0.999,1.0,0.1111,0.2,100.0,63,0.2
scores_eucli_00111.csv,0.9989,0.5,0.2222,0.3077,100.0,74,0.3077
scores_eucli_00112.csv,0.999,1.0,0.1111,0.2,100.0,77,0.2
scores_eucli_00113.csv,0.9992,1.0,0.3333,0.5,100.0,72,0.5
scores_eucli_00114.csv,0.999,1.0,0.1111,0.2,100.0,74,0.2
scores_eucli_00115.csv,0.9992,1.0,0.3333,0.5,100.0,72,0.5
scores_eucli_00116.csv,0.9991,1.0,0.2222,0.3636,100.0,72,0.3636
scores_eucli_00118.csv,0.9994,1.0,0.4444,0.6154,100.0,50,0.6154
scores_eucli_00119.csv,0.9992,1.0,0.3333,0.5,100.0,71,0.5
scores_eucli_00120.csv,0.9991,1.0,0.2222,0.3636,100.0,72,0.3636
scores_eucli_00121.csv,0.999,1.0,0.1111,0.2,100.0,78,0.2
scores_eucli_00122.csv,0.9992,1.0,0.3333,0.5,100.0,77,0.5
scores_eucli_00124.csv,0.9988,0.4444,0.4444,0.4444,100.0,27,0.4444
scores_eucli_00127.csv,0.9992,1.0,0.3333,0.5,100.0,69,0.5
scores_eucli_00128.csv,0.9991,1.0,0.125,0.2222,100.0,65,0.2222
scores_eucli_00129.csv,0.9992,1.0,0.3333,0.5,100.0,61,0.5
scores_eucli_00130.csv,0.9991,1.0,0.2222,0.3636,100.0,69,0.3636
scores_eucli_00131.csv,0.999,1.0,0.1111,0.2,100.0,69,0.2
scores_eucli_00132.csv,0.999,1.0,0.1111,0.2,100.0,60,0.2
scores_eucli_00133.csv,0.9991,1.0,0.2222,0.3636,100.0,73,0.3636
scores_eucli_00134.csv,0.9991,1.0,0.2222,0.3636,100.0,74,0.3636
scores_eucli_00135.csv,0.999,1.0,0.1111,0.2,100.0,60,0.2
scores_eucli_00136.csv,0.999,1.0,0.1111,0.2,100.0,69,0.2
scores_eucli_00137.csv,0.9991,1.0,0.2222,0.3636,100.0,81,0.3636
scores_eucli_00139.csv,0.9995,1.0,0.5556,0.7143,100.0,63,0.7143
scores_eucli_00140.csv,0.9986,0.3333,0.2222,0.2667,100.0,72,0.2667
scores_eucli_00141.csv,0.9991,1.0,0.2222,0.3636,100.0,73,0.3636
scores_eucli_00142.csv,0.9992,1.0,0.25,0.4,100.0,59,0.4
scores_eucli_00143.csv,0.9992,1.0,0.3333,0.5,100.0,72,0.5
scores_eucli_00144.csv,0.999,1.0,0.1111,0.2,100.0,69,0.2
scores_eucli_00145.csv,0.9992,1.0,0.3333,0.5,100.0,76,0.5
scores_eucli_00146.csv,0.9991,1.0,0.2222,0.3636,100.0,75,0.3636
scores_eucli_00147.csv,0.9991,1.0,0.2222,0.3636,100.0,76,0.3636
scores_eucli_00148.csv,0.9992,1.0,0.3333,0.5,100.0,71,0.5
scores_eucli_00149.csv,0.9992,1.0,0.3333,0.5,100.0,75,0.5
scores_eucli_00150.csv,0.999,1.0,0.1111,0.2,100.0,78,0.2
scores_eucli_00151.csv,0.999,1.0,0.1111,0.2,100.0,56,0.2
scores_eucli_00152.csv,0.9991,1.0,0.2222,0.3636,100.0,78,0.3636
scores_eucli_00153.csv,0.9991,1.0,0.2222,0.3636,100.0,74,0.3636
scores_eucli_00154.csv,0.9991,1.0,0.2222,0.3636,100.0,72,0.3636
scores_eucli_00155.csv,0.999,1.0,0.1111,0.2,100.0,80,0.2
scores_eucli_00157.csv,0.999,1.0,0.1111,0.2,100.0,68,0.2
scores_eucli_00158.csv,0.999,1.0,0.1111,0.2,100.0,66,0.2
scores_eucli_00159.csv,0.999,1.0,0.1111,0.2,100.0,79,0.2
scores_eucli_00160.csv,0.999,0.5714,0.4444,0.5,100.0,67,0.5
scores_eucli_00161.csv,0.9994,1.0,0.4444,0.6154,100.0,72,0.6154
scores_eucli_00163.csv,0.9988,0.4286,0.3333,0.375,100.0,70,0.375
scores_eucli_00164.csv,0.999,1.0,0.1111,0.2,100.0,77,0.2
scores_eucli_00165.csv,0.999,1.0,0.1111,0.2,100.0,76,0.2
scores_eucli_00166.csv,0.9995,1.0,0.5556,0.7143,100.0,54,0.7143
scores_eucli_00167.csv,0.9991,1.0,0.2222,0.3636,100.0,64,0.3636
scores_eucli_00168.csv,0.9991,1.0,0.2222,0.3636,100.0,80,0.3636
scores_eucli_00169.csv,0.999,1.0,0.1111,0.2,100.0,78,0.2
scores_eucli_00170.csv,0.9994,1.0,0.4444,0.6154,100.0,80,0.6154
scores_eucli_00171.csv,0.9991,1.0,0.2222,0.3636,100.0,81,0.3636
scores_eucli_00172.csv,0.9991,1.0,0.2222,0.3636,100.0,74,0.3636
scores_eucli_00173.csv,0.9991,1.0,0.2222,0.3636,100.0,75,0.3636
scores_eucli_00174.csv,0.999,1.0,0.1111,0.2,100.0,10,0.2
scores_eucli_00175.csv,0.999,0.6667,0.2222,0.3333,100.0,72,0.3333
scores_eucli_00176.csv,0.9992,1.0,0.3333,0.5,100.0,79,0.5
scores_eucli_00177.csv,0.9986,0.4,0.4444,0.4211,100.0,75,0.4211
scores_eucli_00178.csv,0.9991,1.0,0.2222,0.3636,100.0,66,0.3636
scores_eucli_00180.csv,0.9994,1.0,0.4444,0.6154,100.0,77,0.6154
scores_eucli_00181.csv,0.9992,1.0,0.3333,0.5,100.0,62,0.5
scores_eucli_00182.csv,0.9994,1.0,0.4444,0.6154,100.0,81,0.6154
scores_eucli_00183.csv,0.999,1.0,0.1111,0.2,100.0,78,0.2
scores_eucli_00184.csv,0.999,1.0,0.1111,0.2,100.0,80,0.2
scores_eucli_00185.csv,0.9991,1.0,0.2222,0.3636,100.0,77,0.3636
scores_eucli_00186.csv,0.9994,1.0,0.4444,0.6154,100.0,78,0.6154
scores_eucli_00187.csv,0.998,0.1818,0.2222,0.2,100.0,70,0.2
scores_eucli_00188.csv,0.999,1.0,0.1111,0.2,100.0,77,0.2
scores_eucli_00189.csv,0.9992,1.0,0.3333,0.5,100.0,53,0.5
scores_eucli_00190.csv,0.9995,1.0,0.5556,0.7143,100.0,62,0.7143
scores_eucli_00191.csv,0.9994,1.0,0.4444,0.6154,100.0,77,0.6154
scores_eucli_00193.csv,0.9991,1.0,0.2222,0.3636,100.0,66,0.3636
scores_eucli_00194.csv,0.9992,1.0,0.3333,0.5,100.0,79,0.5
scores_eucli_00195.csv,0.9991,1.0,0.2222,0.3636,100.0,72,0.3636
scores_eucli_00197.csv,0.9992,1.0,0.3333,0.5,100.0,70,0.5
scores_eucli_00198.csv,0.9991,1.0,0.2222,0.3636,100.0,70,0.3636
scores_eucli_00199.csv,0.9994,1.0,0.4444,0.6154,100.0,65,0.6154
scores_eucli_00200.csv,0.9991,1.0,0.2222,0.3636,100.0,62,0.3636
scores_eucli_00201.csv,0.9988,0.4,0.2222,0.2857,100.0,63,0.2857
scores_eucli_00202.csv,0.999,1.0,0.1111,0.2,100.0,75,0.2
scores_eucli_00203.csv,0.9991,1.0,0.2222,0.3636,100.0,81,0.3636
scores_eucli_00205.csv,0.999,1.0,0.1111,0.2,100.0,72,0.2
scores_eucli_00206.csv,0.9994,0.8333,0.5556,0.6667,100.0,71,0.6667
scores_eucli_00207.csv,0.999,1.0,0.1111,0.2,100.0,82,0.2
scores_eucli_00208.csv,0.9991,1.0,0.2222,0.3636,100.0,82,0.3636
scores_eucli_00209.csv,0.9992,1.0,0.3333,0.5,100.0,82,0.5
scores_eucli_00210.csv,0.9995,1.0,0.5556,0.7143,100.0,63,0.7143
scores_eucli_00211.csv,0.9994,1.0,0.4444,0.6154,100.0,70,0.6154
scores_eucli_00212.csv,0.9985,0.3333,0.3333,0.3333,100.0,78,0.3333
scores_eucli_00213.csv,0.9994,1.0,0.4444,0.6154,100.0,58,0.6154
scores_eucli_00214.csv,0.9991,0.75,0.3333,0.4615,100.0,76,0.4615
scores_eucli_00215.csv,0.9991,1.0,0.2222,0.3636,100.0,58,0.3636
scores_eucli_00216.csv,0.9994,1.0,0.4444,0.6154,100.0,56,0.6154
scores_eucli_00217.csv,0.999,1.0,0.1111,0.2,100.0,81,0.2
scores_eucli_00218.csv,0.999,1.0,0.1111,0.2,100.0,62,0.2
scores_eucli_00219.csv,0.9991,1.0,0.2222,0.3636,100.0,75,0.3636
scores_eucli_00220.csv,0.9994,0.8333,0.5556,0.6667,100.0,76,0.6667
scores_eucli_00221.csv,0.9988,0.4,0.2222,0.2857,100.0,65,0.2857
scores_eucli_00223.csv,0.999,0.6667,0.2222,0.3333,100.0,75,0.3333
scores_eucli_00224.csv,0.999,1.0,0.1111,0.2,100.0,53,0.2
scores_eucli_00225.csv,0.9991,1.0,0.2222,0.3636,100.0,65,0.3636
scores_eucli_00227.csv,0.9996,1.0,0.6667,0.8,100.0,54,0.8
scores_eucli_00228.csv,0.9994,1.0,0.4444,0.6154,100.0,52,0.6154
scores_eucli_00229.csv,0.9992,1.0,0.3333,0.5,100.0,73,0.5
scores_eucli_00230.csv,0.9991,1.0,0.2222,0.3636,100.0,70,0.3636
